id,is_canceled
0,0
1,1
2,0
3,1
4,1
5,1
6,1
7,0
8,0
9,1
10,0
11,1
12,0
13,1
14,1
15,1
16,0
17,1
18,1
19,0
20,1
21,1
22,0
23,1
24,1
25,1
26,1
27,1
28,0
29,0
30,0
31,1
32,1
33,1
34,1
35,0
36,0
37,0
38,1
39,1
40,1
41,1
42,1
43,1
44,1
45,0
46,0
47,1
48,1
49,1
50,1
51,0
52,0
53,1
54,0
55,1
56,0
57,1
58,1
59,1
60,0
61,0
62,0
63,1
64,1
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,1
73,0
74,0
75,1
76,0
77,0
78,0
79,1
80,0
81,1
82,0
83,1
84,1
85,1
86,0
87,1
88,1
89,0
90,1
91,1
92,0
93,1
94,0
95,1
96,0
97,0
98,1
99,1
100,0
101,1
102,1
103,0
104,0
105,1
106,0
107,1
108,1
109,1
110,0
111,0
112,1
113,1
114,1
115,0
116,1
117,1
118,1
119,0
120,1
121,0
122,1
123,1
124,1
125,1
126,1
127,0
128,0
129,1
130,0
131,1
132,1
133,1
134,1
135,1
136,1
137,0
138,0
139,1
140,1
141,1
142,0
143,0
144,1
145,0
146,1
147,0
148,1
149,1
150,1
151,1
152,0
153,1
154,1
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,1
163,1
164,0
165,1
166,0
167,0
168,1
169,1
170,1
171,0
172,1
173,1
174,1
175,0
176,1
177,0
178,1
179,1
180,1
181,1
182,0
183,1
184,0
185,1
186,1
187,1
188,1
189,1
190,0
191,1
192,1
193,1
194,1
195,1
196,1
197,0
198,0
199,1
200,1
201,1
202,1
203,0
204,1
205,1
206,1
207,0
208,0
209,1
210,1
211,1
212,1
213,0
214,0
215,1
216,0
217,1
218,1
219,1
220,1
221,1
222,1
223,1
224,1
225,0
226,1
227,0
228,0
229,0
230,1
231,1
232,1
233,1
234,0
235,0
236,1
237,1
238,1
239,1
240,1
241,1
242,1
243,0
244,1
245,0
246,1
247,1
248,1
249,0
250,1
251,1
252,1
253,0
254,0
255,0
256,1
257,0
258,1
259,0
260,0
261,1
262,1
263,0
264,1
265,1
266,0
267,0
268,0
269,0
270,1
271,0
272,1
273,1
274,0
275,0
276,1
277,1
278,0
279,1
280,1
281,0
282,1
283,1
284,0
285,1
286,1
287,1
288,0
289,1
290,1
291,0
292,1
293,0
294,0
295,1
296,1
297,0
298,1
299,1
300,1
301,1
302,0
303,0
304,1
305,0
306,1
307,0
308,0
309,1
310,0
311,1
312,1
313,1
314,1
315,1
316,1
317,0
318,0
319,1
320,0
321,1
322,0
323,0
324,1
325,1
326,0
327,1
328,0
329,0
330,0
331,1
332,1
333,0
334,1
335,1
336,0
337,1
338,0
339,0
340,1
341,1
342,1
343,0
344,1
345,1
346,1
347,1
348,1
349,1
350,1
351,1
352,1
353,0
354,0
355,0
356,1
357,1
358,1
359,1
360,1
361,1
362,0
363,0
364,0
365,0
366,1
367,1
368,1
369,1
370,1
371,1
372,1
373,1
374,0
375,0
376,1
377,1
378,0
379,0
380,1
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,0
389,1
390,1
391,0
392,0
393,1
394,1
395,1
396,0
397,1
398,1
399,0
400,0
401,1
402,1
403,0
404,1
405,1
406,1
407,1
408,1
409,0
410,1
411,1
412,0
413,1
414,1
415,0
416,1
417,0
418,0
419,0
420,0
421,0
422,1
423,1
424,1
425,0
426,1
427,0
428,1
429,1
430,1
431,1
432,0
433,1
434,1
435,1
436,1
437,0
438,0
439,1
440,1
441,1
442,0
443,1
444,0
445,0
446,0
447,0
448,0
449,1
450,1
451,1
452,1
453,1
454,0
455,0
456,0
457,0
458,1
459,1
460,1
461,0
462,0
463,1
464,1
465,0
466,1
467,1
468,1
469,1
470,0
471,0
472,0
473,1
474,1
475,0
476,0
477,1
478,0
479,1
480,1
481,1
482,1
483,1
484,1
485,1
486,1
487,1
488,0
489,1
490,1
491,1
492,1
493,0
494,1
495,0
496,0
497,0
498,1
499,0
500,1
501,0
502,0
503,1
504,0
505,0
506,1
507,1
508,1
509,0
510,1
511,0
512,0
513,1
514,0
515,1
516,1
517,1
518,0
519,1
520,1
521,1
522,0
523,1
524,0
525,0
526,0
527,0
528,0
529,0
530,1
531,1
532,0
533,1
534,0
535,0
536,0
537,1
538,1
539,0
540,1
541,1
542,1
543,0
544,1
545,1
546,0
547,0
548,0
549,1
550,1
551,0
552,0
553,1
554,0
555,1
556,1
557,0
558,1
559,0
560,0
561,0
562,0
563,0
564,1
565,1
566,1
567,0
568,1
569,0
570,0
571,1
572,0
573,0
574,1
575,1
576,0
577,0
578,0
579,1
580,0
581,1
582,0
583,1
584,1
585,0
586,1
587,1
588,1
589,1
590,0
591,1
592,1
593,0
594,1
595,1
596,0
597,0
598,1
599,1
600,1
601,0
602,0
603,1
604,1
605,0
606,1
607,1
608,0
609,0
610,1
611,0
612,1
613,1
614,1
615,0
616,0
617,1
618,0
619,1
620,1
621,0
622,1
623,1
624,0
625,0
626,0
627,1
628,1
629,0
630,1
631,1
632,1
633,1
634,0
635,1
636,0
637,1
638,1
639,0
640,0
641,0
642,1
643,1
644,1
645,0
646,1
647,1
648,1
649,1
650,1
651,0
652,0
653,1
654,0
655,1
656,0
657,0
658,1
659,1
660,1
661,1
662,1
663,0
664,0
665,1
666,1
667,1
668,1
669,0
670,1
671,1
672,1
673,1
674,1
675,0
676,1
677,1
678,1
679,0
680,1
681,0
682,1
683,0
684,0
685,0
686,0
687,1
688,0
689,1
690,0
691,1
692,1
693,1
694,0
695,1
696,1
697,1
698,0
699,0
700,0
701,0
702,1
703,0
704,0
705,0
706,1
707,1
708,0
709,0
710,1
711,0
712,0
713,0
714,0
715,0
716,0
717,0
718,0
719,1
720,0
721,1
722,0
723,0
724,0
725,0
726,1
727,1
728,0
729,1
730,1
731,0
732,0
733,0
734,1
735,1
736,1
737,1
738,1
739,0
740,1
741,0
742,1
743,1
744,1
745,0
746,1
747,1
748,0
749,0
750,1
751,0
752,0
753,1
754,1
755,1
756,0
757,0
758,0
759,0
760,0
761,0
762,1
763,1
764,0
765,0
766,1
767,0
768,1
769,1
770,1
771,1
772,1
773,1
774,1
775,0
776,0
777,1
778,0
779,1
780,1
781,1
782,0
783,0
784,1
785,0
786,0
787,1
788,0
789,0
790,1
791,1
792,1
793,0
794,1
795,1
796,1
797,1
798,1
799,1
800,0
801,0
802,1
803,1
804,0
805,1
806,0
807,1
808,1
809,1
810,1
811,1
812,1
813,0
814,0
815,1
816,0
817,1
818,1
819,0
820,1
821,1
822,1
823,1
824,1
825,0
826,0
827,0
828,0
829,1
830,1
831,0
832,0
833,1
834,0
835,1
836,0
837,1
838,1
839,1
840,0
841,1
842,1
843,0
844,1
845,0
846,1
847,0
848,1
849,1
850,0
851,1
852,1
853,0
854,1
855,1
856,1
857,0
858,0
859,1
860,1
861,0
862,1
863,1
864,1
865,1
866,1
867,1
868,0
869,1
870,0
871,0
872,1
873,1
874,0
875,0
876,1
877,1
878,1
879,0
880,1
881,1
882,1
883,1
884,1
885,1
886,0
887,0
888,1
889,1
890,0
891,1
892,1
893,1
894,0
895,0
896,1
897,1
898,0
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,0
907,1
908,1
909,0
910,0
911,0
912,0
913,0
914,1
915,1
916,1
917,0
918,1
919,1
920,1
921,1
922,0
923,0
924,0
925,1
926,1
927,1
928,1
929,1
930,0
931,1
932,1
933,0
934,1
935,0
936,1
937,1
938,1
939,1
940,1
941,1
942,1
943,0
944,1
945,1
946,1
947,1
948,1
949,0
950,0
951,1
952,1
953,1
954,1
955,0
956,0
957,1
958,0
959,0
960,1
961,1
962,1
963,1
964,1
965,0
966,0
967,1
968,1
969,0
970,0
971,0
972,1
973,1
974,1
975,1
976,0
977,1
978,0
979,1
980,1
981,0
982,1
983,1
984,1
985,0
986,0
987,0
988,1
989,1
990,1
991,0
992,1
993,1
994,1
995,0
996,1
997,0
998,0
999,1
1000,1
1001,0
1002,1
1003,0
1004,0
1005,1
1006,1
1007,1
1008,1
1009,0
1010,1
1011,1
1012,0
1013,0
1014,1
1015,0
1016,1
1017,1
1018,0
1019,0
1020,0
1021,0
1022,1
1023,1
1024,1
1025,1
1026,0
1027,0
1028,1
1029,0
1030,0
1031,1
1032,0
1033,0
1034,0
1035,1
1036,0
1037,0
1038,0
1039,1
1040,1
1041,0
1042,0
1043,0
1044,1
1045,1
1046,1
1047,1
1048,0
1049,1
1050,1
1051,0
1052,1
1053,1
1054,0
1055,1
1056,0
1057,1
1058,1
1059,0
